Animal,Experiment,Box,phase,subphase,component,freezing,motion
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock01,0,1435.23
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock02,0,817.3
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock03,0,755.03
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock04,0,1553.87
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock05,0,1227.17
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock06,0,789.57
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock07,0,323.93
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock08,0,598.07
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock09,0,962.5
8,220512_SEFL10K_trauma_g2,4,trauma,shock,shock10,0,719.87
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock01,0,193.78
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock02,34.67,26.91
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock03,30.83,196.31
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock04,10.83,55.76
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock05,29.83,25.48
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock06,18.83,87.17
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock07,54.5,76.14
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock08,68.17,19.41
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock09,69.5,8.47
8,220512_SEFL10K_trauma_g2,4,trauma,postshock,postshock10,97,0.26
9,220512_SEFL10K_trauma_g3,1,trauma,baseline,baseline,0,213.7
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock01,0,1554.57
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock02,0,882.87
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock03,0,702.8
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock04,0,1208.53
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock05,0,959.23
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock06,0,902.6
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock07,0,549.2
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock08,0,910.9
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock09,0,913.27
9,220512_SEFL10K_trauma_g3,1,trauma,shock,shock10,0,642.47
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock01,14.5,83.14
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock02,63.83,17.38
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock03,69.17,15.93
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock04,65.67,14.75
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock05,92.17,2.09
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock06,70.83,13.21
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock07,66.33,8.28
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock08,79.5,7.46
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock09,74.67,14.25
9,220512_SEFL10K_trauma_g3,1,trauma,postshock,postshock10,91,2.25
10,220512_SEFL10K_trauma_g3,2,trauma,baseline,baseline,0.34,225.93
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock01,0,1057.77
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock02,0,602.1
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock03,0,675.9
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock04,0,1279.43
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock05,0,1212.37
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock06,0,1015.2
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock07,0,723.27
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock08,0,1054.7
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock09,0,864.07
10,220512_SEFL10K_trauma_g3,2,trauma,shock,shock10,0,923.27
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock01,5,99.23
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock02,48.83,27.56
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock03,82.5,6.86
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock04,60,14.79
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock05,74.67,10.17
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock06,0,50.96
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock07,60.67,14.22
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock08,48.33,36.83
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock09,82.67,3.92
10,220512_SEFL10K_trauma_g3,2,trauma,postshock,postshock10,91.67,3.06
11,220512_SEFL10K_trauma_g3,3,trauma,baseline,baseline,0,198.56
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock01,0,1140.63
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock02,0,1347.1
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock03,0,1493.1
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock04,0,969.43
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock05,0,1074.3
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock06,0,960.97
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock07,0,1017.13
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock08,0,898.4
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock09,0,811.1
11,220512_SEFL10K_trauma_g3,3,trauma,shock,shock10,0,875.77
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock01,0,120.93
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock02,11.67,111.88
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock03,38.33,119.02
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock04,41,28.57
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock05,67.83,10.95
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock06,21.67,96.83
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock07,41.67,125.51
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock08,65.33,106.11
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock09,40,119.94
11,220512_SEFL10K_trauma_g3,3,trauma,postshock,postshock10,91.67,4.49
12,220512_SEFL10K_trauma_g3,4,trauma,baseline,baseline,0.37,233.32
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock01,0,1181.2
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock02,0,1097.03
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock03,0,1151.7
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock04,0,712.03
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock05,0,867.2
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock06,0,724.33
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock07,0,965.13
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock08,0,718.07
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock09,0,775.73
12,220512_SEFL10K_trauma_g3,4,trauma,shock,shock10,0,1032.47
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock01,0,161.35
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock02,36.67,30.93
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock03,68.17,16.89
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock04,71,10.46
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock05,42.5,93.22
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock06,73,17.94
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock07,69.17,11.37
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock08,74.83,28.32
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock09,80.33,8.59
12,220512_SEFL10K_trauma_g3,4,trauma,postshock,postshock10,79.83,4.77
13,220512_SEFL10K_trauma_g4,1,trauma,baseline,baseline,0.33,182.68
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock01,0,705.47
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock02,0,626.5
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock03,0,934.4
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock04,0,757.5
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock05,0,560.8
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock06,0,583.03
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock07,0,718.13
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock08,0,908.8
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock09,0,666.53
13,220512_SEFL10K_trauma_g4,1,trauma,shock,shock10,0,618.63
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock01,0,98.89
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock02,25.33,55.81
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock03,18.17,57.72
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock04,18.83,68.6
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock05,52.83,24.57
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock06,73.17,18.81
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock07,81,5.15
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock08,100,0
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock09,100,0.02
13,220512_SEFL10K_trauma_g4,1,trauma,postshock,postshock10,94.5,0.98
14,220512_SEFL10K_trauma_g4,2,trauma,baseline,baseline,0,211.68
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock01,0,2089.23
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock02,0,1191.47
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock03,0,631.4
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock04,0,1289
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock05,0,1094.2
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock06,0,1268.77
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock07,0,1475.13
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock08,0,1409.57
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock09,0,600.97
14,220512_SEFL10K_trauma_g4,2,trauma,shock,shock10,0,1611.43
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock01,13.5,111.56
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock02,9.17,99.02
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock03,57.17,34.35
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock04,83.83,6.62
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock05,77,9.01
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock06,90.33,2.85
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock07,98.5,1.05
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock08,78.5,4.33
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock09,91.83,3.96
14,220512_SEFL10K_trauma_g4,2,trauma,postshock,postshock10,88.83,5
15,220512_SEFL10K_trauma_g4,3,trauma,baseline,baseline,0,176.11
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock01,0,882.07
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock02,0,882.4
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock03,0,802.97
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock04,0,766.07
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock05,0,301.23
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock06,0,390.67
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock07,0,726.97
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock08,0,760.9
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock09,0,770.77
15,220512_SEFL10K_trauma_g4,3,trauma,shock,shock10,0,673.37
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock01,12.83,128.15
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock02,53.17,28.34
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock03,55,26.12
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock04,58.67,40.4
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock05,76.83,15.2
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock06,38.83,91.17
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock07,56.5,36.9
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock08,82,9.36
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock09,85.5,4.01
15,220512_SEFL10K_trauma_g4,3,trauma,postshock,postshock10,83.5,8.54
16,220512_SEFL10K_trauma_g4,4,trauma,baseline,baseline,0,184.05
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock01,0,1171
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock02,0,1032
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock03,0,1499.57
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock04,0,926.97
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock05,0,835.63
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock06,0,1049.13
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock07,0,1186.73
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock08,0,952.63
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock09,0,623.73
16,220512_SEFL10K_trauma_g4,4,trauma,shock,shock10,0,948.9
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock01,14.5,68.27
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock02,31,39.12
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock03,26.67,38.36
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock04,73,9.61
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock05,72,38.31
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock06,83.83,3.02
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock07,37.5,34.01
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock08,74.5,11.03
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock09,91.83,1.82
16,220512_SEFL10K_trauma_g4,4,trauma,postshock,postshock10,83,10.3
17,220512_SEFL10K_trauma_g5,1,trauma,baseline,baseline,0,207.34
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock01,0,1166.83
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock02,0,800.77
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock03,0,756.6
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock04,0,714.4
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock05,0,941.97
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock06,0,985.23
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock07,0,808.53
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock08,0,588.7
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock09,0,823
17,220512_SEFL10K_trauma_g5,1,trauma,shock,shock10,0,557.03
17,220512_SEFL10K_trauma_g5,1,trauma,postshock,postshock01,7.17,110.72
17,220512_SEFL10K_trauma_g5,1,trauma,postshock,postshock02,14.83,47.78
17,220512_SEFL10K_trauma_g5,1,trauma,postshock,postshock03,48,33.27
